 Date,Product name,Plan Base Volume (L),Flavor (%),Sugar (%),Flavor mix (kg),Sugar (kg),Plan Total mixd yogh(kg),Pack size (g),Packed no/trays,Packed yogh (kg),Plan Yield %,Actual Yield %,Recipe check
10/27/2025,C.Greek 450g,621,0%,0%,0,0,621,450,230,621,100.00%,6.31%,✅ OK
10/27/2025,C.Natural 450g,162,0%,0%,0,0,162,450,55,148.5,91.67%,1.51%,✅ OK
10/27/2025,C.Vanilla 450g,405,15%,2%,73.19277108,9.759036145,487.9518072,450,160,432,88.53%,4.39%,✅ OK
10/27/2025,C.Honey 450g,459,5%,4%,25.21978022,20.17582418,504.3956044,135,600,486,96.35%,4.94%,✅ OK
10/27/2025,C.Raspberry 150g,60,12.50%,2%,8.771929825,1.403508772,70.1754386,150,71,63.9,91.06%,0.65%,✅ OK
10/27/2025,C.Mandarin and lime 150g,99,12.50%,2%,14.47368421,2.315789474,115.7894737,450,35,94.5,81.61%,0.96%,✅ OK
10/27/2025,C.Mango and Nectarine 150g,207,12.50%,2%,30.26315789,4.842105263,242.1052632,150,262,235.8,97.40%,2.40%,✅ OK
10/27/2025,C.Raspberry and White choc 150g,439,18%,2%,98.29317073,8.78,546.0731707,150,580,522,95.59%,5.30%,✅ OK
10/27/2025,C. Mango granola 135g,135,14.81%,0%,23.46930391,0,158.4693039,450,55,148.5,93.71%,1.51%,✅ OK
10/27/2025,C. Strawberry granola 135g,203,14.81%,0%,35.29087921,0,238.2908792,450,86,232.2,97.44%,2.36%,✅ OK
10/27/2025,C. Apple n Cinamon 135g,100,14.81%,0%,17.38466956,0,117.3846696,135,136,110.16,93.85%,1.12%,✅ OK
10/27/2025,C. Raspberry tophat 135g,116,12.50%,2%,16.90285714,2.32,135.2228571,150,150,135,99.84%,1.37%,✅ OK
10/27/2025,SS Mango granola 135g,820,14.81%,0%,142.5542904,0,962.5542904,135,1101,891.81,92.65%,9.06%,✅ OK
10/27/2025,SS Blueberry granola 135g,1368,14.81%,0%,237.8222796,0,1605.82228,135,1900,1539,95.84%,15.63%,✅ OK
10/27/2025,SS Strawberry granola 135g,1274,14.81%,0%,221.4806902,0,1495.48069,135,1700,1377,92.08%,13.99%,✅ OK
10/27/2025,A.Noon Strawberry 175g,163,11.43%,0%,21.03522637,0,184.0352264,175,176,184.8,100.42%,1.88%,✅ OK
10/27/2025,A.Noon Blueberry 175g,153,11.43%,0%,19.74472169,0,172.7447217,175,162,170.1,98.47%,1.73%,✅ OK
10/27/2025,10kg Natural,10,0%,0%,0,0,10,10000,1,10,100.00%,0.10%,✅ OK
10/27/2025,10kg Greek,1380,0%,0%,0,0,1380,10000,136,1360,98.55%,13.81%,✅ OK
10/27/2025,5kg Natural,200,0%,0%,0,0,200,5000,41,205,102.50%,2.08%,✅ OK
10/27/2025,5kg Greek,150,0%,0%,0,0,150,5000,31,155,103.33%,1.57%,✅ OK
10/27/2025,2kg Greek,500,0%,0%,0,0,500,2000,251,502,100.40%,5.10%,✅ OK
10/27/2025,C.Toffee 150g,90,15%,2%,13.5,1.8,105.3,2000,10,20,18.99%,0.20%,✅ OK
10/27/2025,2kg Blueberry ,80,0%,0%,0,0,80,2000,40,80,100.00%,0.81%,✅ OK
,,,#N/A,#N/A,#N/A,#N/A, ,,,0,#VALUE!,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,0,#VALUE!,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,  ,,,0,#VALUE!,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,0,#VALUE!,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,0,#VALUE!,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,  ,,,0,#VALUE!,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,0,#VALUE!,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,0,#VALUE!,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,0,#VALUE!,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A, ,,,,,0.00%,
